step,wall_time,value
0,1749500854.141434,2.3179116249084473
1,1749500854.141434,0.9300540685653687
2,1749500854.141434,0.40848731994628906
3,1749500854.141434,0.4272885024547577
4,1749500854.141434,0.45588219165802
5,1749500854.141434,0.47694799304008484
6,1749500854.141434,0.44116416573524475
7,1749500854.141434,0.4367029368877411
8,1749500854.141434,0.4659281373023987
9,1749500854.141434,0.4705246388912201
10,1749500854.141434,0.45219793915748596
11,1749500854.141434,0.43466702103614807
12,1749500854.141434,0.47082772850990295
13,1749500854.141434,0.44034984707832336
14,1749500854.141434,0.44117653369903564
15,1749500854.141434,0.4294479787349701
16,1749500854.141434,0.452396035194397
17,1749500854.141434,0.45673227310180664
18,1749500854.141434,0.46482232213020325
19,1749500854.141434,0.48087039589881897
20,1749500854.141434,0.45381274819374084
